fetch_date,rank,id,symbol,name,current_price,market_cap,total_volume,high_24h,low_24h,price_change_percentage_24h,last_updated
2025-10-26,22,sui,sui,Sui,2.62,9496770578,644620398.0,2.65,2.5,3.0122,2025-10-26T21:05:22.946Z
2025-10-26,23,usds,usds,USDS,0.99969,9110798478,10523478.0,1.001,0.9992,-0.01031,2025-10-26T21:05:22.452Z
2025-10-26,24,binance-bridged-usdt-bnb-smart-chain,bsc-usd,Binance Bridged USDT (BNB Smart Chain),1.0,8985774535,2074268917.0,1.001,0.997807,0.02447,2025-10-26T21:05:22.975Z
2025-10-26,25,weth,weth,WETH,4064.07,8918115397,139876797.0,4093.48,3926.94,3.29582,2025-10-26T21:05:23.203Z
2025-10-26,26,avalanche-2,avax,Avalanche,20.19,8613073691,474891750.0,20.63,19.37,2.53792,2025-10-26T21:05:22.733Z
2025-10-26,27,leo-token,leo,LEO Token,9.0,8296159914,303169.0,9.01,8.97,-0.03873,2025-10-26T21:05:23.327Z
2025-10-26,28,coinbase-wrapped-btc,cbbtc,Coinbase Wrapped BTC,113480.0,8012633198,305509022.0,113875.0,111298.0,1.85232,2025-10-26T21:05:22.960Z
2025-10-26,29,litecoin,ltc,Litecoin,98.98,7568379331,407025065.0,99.5,96.47,2.18398,2025-10-26T21:05:22.933Z
2025-10-26,30,hedera-hashgraph,hbar,Hedera,0.177307,7531977280,133560300.0,0.180252,0.17111,2.45654,2025-10-26T21:05:22.510Z
2025-10-26,31,usdt0,usdt0,USDT0,1.0,7178865910,180403072.0,1.002,0.998772,0.00118,2025-10-26T21:05:23.276Z
2025-10-26,32,monero,xmr,Monero,347.92,6414224087,165765201.0,351.78,332.75,2.67846,2025-10-26T21:05:22.929Z
2025-10-26,33,whitebit,wbt,WhiteBIT Coin,42.94,6189000751,32675664.0,43.2,42.24,1.26173,2025-10-26T21:05:22.472Z
2025-10-26,34,shiba-inu,shib,Shiba Inu,1.043e-05,6142709322,119436707.0,1.049e-05,1.01e-05,2.24899,2025-10-26T21:05:23.052Z
2025-10-26,35,zcash,zec,Zcash,346.98,5674329919,1363563709.0,355.61,272.93,26.68235,2025-10-26T21:05:11.635Z
2025-10-26,36,mantle,mnt,Mantle,1.73,5631026508,148353594.0,1.8,1.63,4.13523,2025-10-26T21:05:22.610Z
2025-10-26,37,the-open-network,ton,Toncoin,2.2,5551970787,106042458.0,2.21,2.13,2.02512,2025-10-26T21:05:23.125Z
2025-10-26,38,crypto-com-chain,cro,Cronos,0.151096,5451542935,18368583.0,0.153719,0.148993,-0.52703,2025-10-26T21:05:22.553Z
2025-10-26,39,ethena-staked-usde,susde,Ethena Staked USDe,1.2,5127454439,63753103.0,1.2,1.2,0.54578,2025-10-26T21:05:22.547Z
2025-10-26,40,polkadot,dot,Polkadot,3.16,4817404657,137053949.0,3.18,3.06,2.32008,2025-10-26T21:05:22.890Z
2025-10-26,41,dai,dai,Dai,0.999773,4665093400,61228984.0,1.001,0.997579,-0.04362,2025-10-26T21:05:23.137Z
2025-10-26,42,world-liberty-financial,wlfi,World Liberty Financial,0.147145,4013751457,185398643.0,0.149956,0.136542,7.34648,2025-10-26T21:05:22.625Z
2025-10-26,43,uniswap,uni,Uniswap,6.56,3937296690,212671456.0,6.58,6.16,4.72403,2025-10-26T21:05:23.364Z
2025-10-26,44,bittensor,tao,Bittensor,400.11,3840553387,252178118.0,421.69,389.02,2.84909,2025-10-26T21:05:22.625Z
2025-10-26,45,memecore,m,MemeCore,2.19,3716573732,7915003.0,2.28,2.17,-2.77958,2025-10-26T21:05:11.145Z
2025-10-26,46,aave,aave,Aave,236.09,3602646029,228529204.0,239.88,223.79,4.00536,2025-10-26T21:05:22.922Z
2025-10-26,47,ethena,ena,Ethena,0.501821,3591250496,299368448.0,0.503317,0.459357,7.23982,2025-10-26T21:05:22.762Z
2025-10-26,48,okb,okb,OKB,168.07,3531331701,38825325.0,169.88,165.53,0.64694,2025-10-26T21:05:22.547Z
2025-10-26,49,susds,susds,sUSDS,1.073,3407662787,2348331.0,1.079,1.064,0.48645,2025-10-26T21:05:22.846Z
2025-10-26,50,bitget-token,bgb,Bitget Token,4.79,3351239999,70149636.0,4.82,4.67,2.46435,2025-10-26T21:05:22.928Z
2025-10-26,51,pepe,pepe,Pepe,7.24e-06,3045964744,320762906.0,7.39e-06,7.04e-06,0.73632,2025-10-26T21:05:22.746Z
2025-10-26,52,near,near,NEAR Protocol,2.33,2978685828,126361142.0,2.36,2.26,1.80293,2025-10-26T21:05:11.371Z
2025-10-26,53,usd1-wlfi,usd1,USD1,1.001,2978365771,199014485.0,1.001,0.999892,0.05442,2025-10-26T21:05:23.049Z
2025-10-26,54,blackrock-usd-institutional-digital-liquidity-fund,buidl,BlackRock USD Institutional Digital Liquidity Fund,1.0,2852342667,0.0,1.0,1.0,0.0,2025-10-26T21:05:02.160Z
